trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
154,False,"{'a': 0.33, 'e': 0.021818435531042762}",25,16,16.454976888187694,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.33, 'e': 0.02127973643837717}",20,6,25.77618144462281,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.33, 'e': 0.020754337873699742}",20,8,22.95815117988532,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.33, 'e': 0.02024191144580438}",30,18,18.531368675206693,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.33, 'e': 0.019742136871492774}",20,6,17.206059921596278,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.33, 'e': 0.01925470177538692}",35,16,35.37719050123257,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.33, 'e': 0.0187793014946844}",20,11,16.334719808745394,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.33, 'e': 0.01831563888873418}",25,2,39.03244287319724,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.33, 'e': 0.017863424153314034}",20,11,16.222321142596677,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.33, 'e': 0.017422374639493515}",20,13,12.101243885010245,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.33, 'e': 0.016992214676969066}",20,14,8.942136335309671,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.33, 'e': 0.016572675401761237}",25,15,18.80505504386437,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.33, 'e': 0.016163494588165874}",20,8,19.3302614169068,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.33, 'e': 0.015764416484854486}",20,15,0.30111569857360365,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.33, 'e': 0.015375191655021433}",20,0,26.915207009971457,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.33, 'e': 0.014995576820477703}",25,8,35.412702302784226,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.33, 'e': 0.014625334709594208}",20,8,22.795763693825116,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.33, 'e': 0.014264233908999256}",30,8,39.17719611795946,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.33, 'e': 0.01391204871893762}",20,3,29.428422045134788,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.33, 'e': 0.013568559012200934}",20,0,27.48752310180206,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.33, 'e': 0.013233550096540928}",30,7,34.22846358606773,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.33, 'e': 0.012906812580479862}",25,11,27.197920869075872,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.33, 'e': 0.012588142242433998}",20,0,30.769555434600008,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.33, 'e': 0.012277339903068436}",25,14,18.873079586416704,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.33, 'e': 0.011974211300803622}",35,13,38.51061438635683,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.33, 'e': 0.011678566970395442}",20,16,8.282000838231095,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.33, 'e': 0.011390222124513367}",20,7,19.520145337808234,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.33, 'e': 0.011108996538242306}",25,17,18.22859955339107,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
